,vehicle_name,start_time,end_time,avg_v_err,v_rmse,avg_a_err,a_rmse
0,pdb-l4e-b0007,2023-04-11 11:00:00.00,2023-04-11 11:30:00.00,-0.11740849660349556,0.18233642131939065,-0.09000415090867608,0.19090935285630156
1,pdb-l4e-b0007,2023-04-11 13:15:00.00,2023-04-11 14:45:00.00,-0.09304594624488548,0.1689105625484121,-0.08425012390245831,0.2092907889300402
2,pdb-l4e-b0007,2023-04-11 15:45:00.00,2023-04-11 16:15:00.00,-0.09276587359920047,0.2536394460251091,-0.09228255273658217,0.24448167520704886
3,pdb-l4e-b0007,2023-04-12 11:00:00.00,2023-04-12 11:30:00.00,-0.09789505475926999,0.185438800016059,-0.0856694949020035,0.2225267998115657
4,pdb-l4e-b0007,2023-04-12 13:00:00.00,2023-04-12 13:30:00.00,-0.14192161639814044,0.18961406248856894,-0.11108942477394994,0.20805368361178198
5,pdb-l4e-b0007,2023-04-12 14:30:00.00,2023-04-12 15:00:00.00,-0.08870142643738878,0.1576100297916704,-0.06461554744133136,0.15707724802621326
6,pdb-l4e-b0007,2023-04-13 10:30:00.00,2023-04-13 11:00:00.00,-0.1542656493877597,0.24465546359631526,-0.13037889208201653,0.2525647519691417
7,pdb-l4e-b0007,2023-04-13 12:45:00.00,2023-04-13 13:15:00.00,-0.12153084087710436,0.22353839027645545,-0.10642324594517172,0.21642204091067194
8,pdb-l4e-b0007,2023-04-13 14:00:00.00,2023-04-13 14:30:00.00,-0.10194080695823735,0.1600976046281572,-0.06630976645993451,0.13192604041307468
9,pdb-l4e-b0007,2023-04-14 10:00:00.00,2023-04-14 10:30:00.00,-0.10879865536673798,0.171594827278417,-0.0834010356301027,0.17931326993220648
10,pdb-l4e-b0007,2023-04-14 12:15:00.00,2023-04-14 12:45:00.00,-0.11345828004141724,0.16954053467711863,-0.10870396936401706,0.22974841970404486
11,pdb-l4e-b0007,2023-04-14 14:30:00.00,2023-04-14 15:00:00.00,-0.06617616069581053,0.19687861230554632,-0.031818285552102164,0.15674965326293075
12,pdb-l4e-b0007,2023-04-15 10:30:00.00,2023-04-15 11:00:00.00,-0.17155260305122913,0.2721295651609073,-0.12956719327404495,0.2518043585069393
13,pdb-l4e-b0007,2023-04-15 12:45:00.00,2023-04-15 13:15:00.00,-0.04480197357848572,0.14520940237318458,-0.0256722194428103,0.1739359315958472
14,pdb-l4e-b0007,2023-04-15 13:30:00.00,2023-04-15 14:00:00.00,-0.06358974991604409,0.17676020574889764,-0.03638047070847154,0.12507901795300289
15,pdb-l4e-b0007,2023-04-17 14:00:00.00,2023-04-17 14:30:00.00,0.007626257297070924,0.046502202931542724,0.0005559307296690423,0.06404381299988308
16,pdb-l4e-b0007,2023-04-17 14:30:00.00,2023-04-17 15:00:00.00,0.006002265340420767,0.03900472960589345,0.0019026968801993053,0.043932894982527
17,pdb-l4e-b0007,2023-04-17 15:00:00.00,2023-04-17 15:30:00.00,0.008701622265281789,0.04197687218640294,0.0020521985666882544,0.052696272479216925
18,pdb-l4e-b0007,2023-04-18 12:00:00.00,2023-04-18 12:30:00.00,-0.011746804997636556,0.04921532210073089,-0.007062541051399341,0.03531464515518998
19,pdb-l4e-b0007,2023-04-18 12:00:00.00,2023-04-18 12:30:00.00,-0.011746804997636556,0.04921532210073089,-0.007062541051399341,0.03531464515518998
20,pdb-l4e-b0007,2023-04-18 13:00:00.00,2023-04-18 13:30:00.00,-0.012704843237703153,0.05330712636078973,-0.006927652347546461,0.03958438985269307
21,pdb-l4e-b0007,2023-04-19 10:00:00.00,2023-04-19 10:30:00.00,-0.03496161517223102,0.09267374876387775,-0.019028248680238852,0.07142396518799088
22,pdb-l4e-b0007,2023-04-19 10:30:00.00,2023-04-19 11:00:00.00,-0.007314517910944284,0.04088647181776283,-0.004544872204005589,0.03024420352023339
23,pdb-l4e-b0007,2023-04-19 11:00:00.00,2023-04-19 11:30:00.00,-0.008959721500753593,0.05207805428745616,-0.007157246902953253,0.08623513477206118
24,pdb-l4e-b0007,2023-04-20 10:30:00.00,2023-04-20 11:00:00.00,-0.008189663269611527,0.047975196815076615,-0.0038189503450853993,0.03164370941377384
25,pdb-l4e-b0007,2023-04-20 11:00:00.00,2023-04-20 11:30:00.00,-0.0028154074347142115,0.03886286263698528,-0.0008893796283888516,0.027982898642618784
26,pdb-l4e-b0007,2023-04-20 11:30:00.00,2023-04-20 12:00:00.00,-0.00365294939625935,0.0420159104890437,-0.0007663347526350074,0.03255794972044513
27,pdb-l4e-b0007,2023-04-21 10:30:00.00,2023-04-21 11:00:00.00,0.0009018564139237499,0.047249903362720516,-0.0010441125027340317,0.06232784587252164
28,pdb-l4e-b0007,2023-04-21 11:00:00.00,2023-04-21 11:30:00.00,0.0034822011761670014,0.043285007845922846,0.0016590693652065891,0.04024696052167271
29,pdb-l4e-b0007,2023-04-21 11:30:00.00,2023-04-21 12:00:00.00,0.003427078598704389,0.04085158778620116,0.0018890242654752165,0.04118500159028607
30,pdb-l4e-b0007,2023-04-23 10:30:00.00,2023-04-23 11:00:00.00,0.0007592693002707644,0.0490073880936681,0.00035218623674280016,0.04559441448194291
31,pdb-l4e-b0007,2023-04-23 11:00:00.00,2023-04-23 11:30:00.00,0.001417634953605105,0.03647198497433827,0.0005693287442234006,0.030075378159980293
32,pdb-l4e-b0007,2023-04-23 11:30:00.00,2023-04-23 12:00:00.00,0.005424650161709851,0.0408030490095748,0.0017521238616384639,0.043265280421804164
33,pdb-l4e-b0007,2023-04-24 10:30:00.00,2023-04-24 11:00:00.00,0.002174410772629343,0.04354403692774733,0.0003997672924428581,0.04828549333772447
34,pdb-l4e-b0007,2023-04-24 11:00:00.00,2023-04-24 11:30:00.00,0.000921764925961121,0.038871468904655454,0.0002866035054287958,0.030501760097895566
35,pdb-l4e-b0007,2023-04-24 11:30:00.00,2023-04-24 12:00:00.00,0.0028391752478451127,0.03463576756526431,0.000528931092845105,0.04356027064888456
36,pdb-l4e-b0007,2023-04-25 10:30:00.00,2023-04-25 11:00:00.00,-0.0014019915681750571,0.06254805042835382,-0.005374385266424113,0.11304742006285105
37,pdb-l4e-b0007,2023-04-25 11:00:00.00,2023-04-25 11:30:00.00,0.0009951633254030713,0.05222065342609423,0.00018418624923597753,0.034300575127438976
38,pdb-l4e-b0007,2023-04-25 12:00:00.00,2023-04-25 12:30:00.00,-0.012778305907585507,0.05111588418499955,-0.008110027533330623,0.038907702526950014
39,pdb-l4e-b0007,2023-04-26 10:30:00.00,2023-04-26 11:00:00.00,-0.0011878193338530456,0.03942245720501534,-0.0009827130916322052,0.028729268058803843
40,pdb-l4e-b0007,2023-04-26 11:00:00.00,2023-04-26 11:30:00.00,-0.007138117365641861,0.04878320597963401,-0.003712851350632399,0.0373798504357685
41,pdb-l4e-b0007,2023-04-26 12:00:00.00,2023-04-26 12:30:00.00,0.0002084776318957098,0.04434955253234608,-0.0010455208966271836,0.039582542823875855
42,pdb-l4e-b0007,2023-04-27 10:30:00.00,2023-04-27 11:00:00.00,0.004927619655522132,0.049014374165614265,0.002346152650685999,0.04120262594505438
43,pdb-l4e-b0007,2023-04-27 11:00:00.00,2023-04-27 11:30:00.00,0.003512065268157632,0.03979656513964443,0.0017078566624505387,0.035387867017246374
44,pdb-l4e-b0007,2023-04-27 12:00:00.00,2023-04-27 12:30:00.00,0.005135748477170189,0.02975060901385593,0.002733238267687751,0.025135610417478006
45,pdb-l4e-b0007,2023-04-28 10:30:00.00,2023-04-28 11:00:00.00,0.00019393264328665044,0.04626734654991254,-0.0010064820686557475,0.043878000820072045
46,pdb-l4e-b0007,2023-04-28 11:00:00.00,2023-04-28 11:30:00.00,-0.004477155928960699,0.04055100592763474,-0.0022809939144958465,0.033032572532445514
47,pdb-l4e-b0007,2023-04-28 12:00:00.00,2023-04-28 12:30:00.00,-7.823186195729084e-05,0.0439411560077471,-0.00332557337467543,0.06314600165510373
48,pdb-l4e-b0007,2023-04-29 10:00:00.00,2023-04-29 10:30:00.00,0.0010327587032042547,0.05681259564029112,-0.0017255220359880781,0.06866517143227323
49,pdb-l4e-b0007,2023-04-29 13:30:00.00,2023-04-29 14:00:00.00,0.004932367420039804,0.03803228881989582,0.0022315294352088636,0.0350039450003346
50,pdb-l4e-b0007,2023-04-29 19:30:00.00,2023-04-29 20:00:00.00,-0.0032429859952847204,0.05973383541569451,-0.0074672028245272755,0.1366630690115433
51,pdb-l4e-b0007,2023-04-30 10:30:00.00,2023-04-30 11:00:00.00,0.004687611938415934,0.03053939471640129,0.0019773284683026414,0.027533392387518115
52,pdb-l4e-b0007,2023-04-30 11:00:00.00,2023-04-30 11:30:00.00,-0.0025941551360207844,0.033788982846900295,-0.0012311404991932342,0.030857626174485207
53,pdb-l4e-b0007,2023-04-30 12:00:00.00,2023-04-30 12:30:00.00,0.0018730411674484668,0.03909175093820662,0.0007521223405576655,0.03229035035880903
54,pdb-l4e-b0007,2023-05-01 10:00:00.00,2023-05-01 10:30:00.00,0.0002658145576736539,0.03753194998581022,-0.001479442904017993,0.040617165720874766
55,pdb-l4e-b0007,2023-05-01 11:30:00.00,2023-05-01 12:00:00.00,0.004020802198647905,0.028704438485882944,0.001436214975932621,0.030598034353263644
56,pdb-l4e-b0007,2023-05-01 12:00:00.00,2023-05-01 12:30:00.00,-0.001270792739276646,0.06205480894589593,-0.00786794077057403,0.08831505537936277
57,pdb-l4e-b0007,2023-05-02 10:40:00.00,2023-05-02 11:10:00.00,-2.0890844216441787e-05,0.034203261312286855,-0.0002447292710938614,0.029722421107220117
58,pdb-l4e-b0007,2023-05-02 13:00:00.00,2023-05-02 13:30:00.00,0.0011309196909888492,0.045120004824179306,-0.0016239196218517326,0.05423774886872137
59,pdb-l4e-b0007,2023-05-02 13:30:00.00,2023-05-02 14:00:00.00,0.00037829639367414545,0.03983436848302308,-0.0014172195382498485,0.04204482326732795
