start_date,end_date,start_time,end_time,weight_gt
2023/11/2,2023/11/2,2:30,10:05,27.00
2023/11/2,2023/11/3,23:46,6:15,30.00
2023/11/4,2023/11/4,1:27,10:35,28.00
2023/11/5,2023/11/5,0:05,6:36,30.00
2023/11/6,2023/11/6,2:03,10:35,24.00
2023/11/6,2023/11/7,23:54,6:26,26.00
2023/11/8,2023/11/8,2:07,9:40,24.60
2023/11/8,2023/11/9,23:47,6:24,25.70
2023/11/10,2023/11/10,2:04,9:36,24.30
2023/11/10,2023/11/11,23:57,6:25,27.80
2023/11/12,2023/11/12,2:10,9:40,24.80
2023/11/13,2023/11/13,0:50,7:25,31.20
2023/11/14,2023/11/14,2:17,9:55,23.50
2023/11/15,2023/11/15,0:38,7:11,24.50
2023/11/16,2023/11/16,2:05,9:48,23.80
2023/11/17,2023/11/17,0:03,6:30,28.20
2023/11/18,2023/11/18,2:02,9:47,28.00
2023/11/19,2023/11/19,0:05,6:29,28.00